指标名称,中国:CPI:环比,中国:PPI:全部工业品:环比,中国:PMI,中国:M0:同比,中国:M1:同比,中国:M2:同比,中国:投资者信心指数:总指数,中国中小企业信心指数,中国:公共财政收入:当月值,中国:城镇新增就业人数:累计同比,中国:社会消费品零售总额:当月同比,中国:金融机构:各项贷款余额:同比,中国:CGPI:当月同比
2012-01,1.50 ,-0.07 ,50.50 ,3.00 ,3.10 ,12.40 ,53.90 ,,12912.58 ,,13.10 ,15.00 ,101.30 
2012-02,-0.10 ,0.14 ,51.00 ,8.80 ,4.30 ,13.00 ,53.20 ,,8005.70 ,,16.40 ,15.20 ,100.60 
2012-03,0.20 ,0.27 ,53.10 ,10.60 ,4.40 ,13.40 ,57.00 ,57.63 ,9057.97 ,,15.20 ,15.70 ,100.30 
2012-04,-0.10 ,0.16 ,53.30 ,10.40 ,3.10 ,12.80 ,52.50 ,,10774.00 ,,14.10 ,15.40 ,99.90 
2012-05,-0.30 ,-0.37 ,50.40 ,10.00 ,3.50 ,13.20 ,54.10 ,,12005.00 ,,13.80 ,15.70 ,98.90 
2012-06,-0.60 ,-0.73 ,50.20 ,10.80 ,4.70 ,13.60 ,45.50 ,54.15 ,11040.00 ,,13.70 ,16.00 ,97.50 
2012-07,0.10 ,-0.77 ,50.10 ,10.00 ,4.60 ,13.90 ,41.30 ,,10672.00 ,,13.10 ,16.00 ,96.30 
2012-08,0.60 ,-0.52 ,49.20 ,9.70 ,4.50 ,13.50 ,42.50 ,,7863.00 ,,13.20 ,16.10 ,96.10 
2012-09,0.30 ,-0.06 ,49.80 ,13.30 ,7.30 ,14.80 ,46.90 ,46.71 ,8258.00 ,,14.20 ,16.30 ,96.20 
2012-10,-0.10 ,0.16 ,50.20 ,10.50 ,6.10 ,14.10 ,53.50 ,,10444.00 ,,14.50 ,15.90 ,97.30 
2012-11,0.10 ,-0.12 ,50.60 ,10.70 ,5.50 ,13.90 ,49.60 ,,7871.00 ,,14.90 ,15.70 ,98.00 
2012-12,0.80 ,-0.06 ,50.60 ,7.70 ,6.50 ,13.80 ,50.50 ,47.28 ,8306.70 ,3.69 ,15.20 ,15.00 ,98.40 
2013-01,1.01 ,0.24 ,50.40 ,4.40 ,15.30 ,15.90 ,62.80 ,,13655.86 ,,,15.40 ,98.90 
2013-02,1.06 ,0.15 ,50.10 ,17.20 ,9.50 ,15.20 ,61.70 ,,8770.14 ,,12.30 ,15.00 ,98.90 
2013-03,-0.91 ,-0.03 ,50.90 ,12.40 ,11.90 ,15.70 ,56.80 ,56.51 ,9608.00 ,,12.60 ,14.90 ,98.30 
2013-04,0.24 ,-0.55 ,50.60 ,10.80 ,11.90 ,16.10 ,52.00 ,,11430.81 ,,12.80 ,14.90 ,97.90 
2013-05,-0.56 ,-0.62 ,50.80 ,10.80 ,11.30 ,15.80 ,54.50 ,,12748.85 ,,12.89 ,14.50 ,97.70 
2013-06,0.00 ,-0.55 ,50.10 ,9.90 ,9.10 ,14.00 ,45.10 ,52.04 ,12376.97 ,,13.31 ,14.20 ,98.10 
2013-07,0.10 ,-0.33 ,50.30 ,9.50 ,9.70 ,14.50 ,44.40 ,,11848.61 ,,13.21 ,14.30 ,98.80 
2013-08,0.47 ,0.14 ,51.00 ,9.30 ,9.90 ,14.70 ,49.70 ,,8588.17 ,,13.37 ,14.10 ,99.30 
2013-09,0.81 ,0.23 ,51.10 ,5.70 ,8.90 ,14.20 ,58.50 ,53.13 ,9361.73 ,,13.31 ,14.30 ,99.60 
2013-10,0.06 ,0.00 ,51.40 ,8.00 ,8.90 ,14.30 ,58.10 ,,12136.41 ,,13.32 ,14.20 ,99.70 
2013-11,-0.06 ,-0.03 ,51.40 ,7.70 ,9.40 ,14.20 ,55.60 ,,9124.96 ,,13.72 ,14.20 ,99.60 
2013-12,0.28 ,0.01 ,51.00 ,7.10 ,9.30 ,13.60 ,55.60 ,50.37 ,9492.60 ,3.48 ,13.60 ,14.10 ,99.30 
2014-01,1.00 ,-0.05 ,50.50 ,22.50 ,1.20 ,13.20 ,46.80 ,,15434.54 ,0.00 ,,14.30 ,98.60 
2014-02,0.53 ,-0.20 ,50.20 ,3.30 ,6.90 ,13.30 ,59.00 ,,9487.98 ,4.19 ,11.82 ,14.20 ,97.70 
2014-03,-0.49 ,-0.30 ,50.30 ,5.20 ,5.40 ,12.10 ,51.60 ,,10103.21 ,0.58 ,12.24 ,13.90 ,97.60 
2014-04,-0.34 ,-0.25 ,50.40 ,5.40 ,5.50 ,13.20 ,51.50 ,,12481.26 ,0.64 ,11.90 ,13.70 ,97.80 
2014-05,0.10 ,-0.06 ,50.80 ,6.70 ,5.70 ,13.40 ,47.50 ,56.50 ,13669.98 ,0.83 ,12.51 ,13.90 ,98.60 
2014-06,-0.13 ,-0.21 ,51.00 ,5.30 ,8.90 ,14.70 ,51.00 ,56.80 ,13461.10 ,1.66 ,12.40 ,14.00 ,98.90 
2014-07,0.05 ,-0.09 ,51.70 ,5.40 ,6.70 ,13.50 ,58.50 ,57.50 ,12661.58 ,1.66 ,12.22 ,13.40 ,99.10 
2014-08,0.18 ,-0.20 ,51.10 ,5.60 ,5.70 ,12.80 ,69.60 ,59.10 ,9109.16 ,1.78 ,11.90 ,13.30 ,98.60 
2014-09,0.45 ,-0.40 ,51.10 ,4.20 ,4.80 ,12.90 ,70.50 ,59.20 ,9953.01 ,1.50 ,11.57 ,13.20 ,97.60 
