指标名称,中国:CPI:环比,中国:PPI:全部工业品:环比,中国:PMI,中国:M0:同比,中国:M1:同比,中国:M2:同比,中国:投资者信心指数:总指数,中国中小企业信心指数,中国:公共财政收入:当月值,中国:城镇新增就业人数:累计同比,中国:社会消费品零售总额:当月同比,中国:金融机构:各项贷款余额:同比,中国:CGPI:当月同比
2014-10,0.03 ,-0.40 ,50.80 ,3.80 ,3.20 ,12.60 ,66.40 ,57.20 ,13280.20 ,1.55 ,11.52 ,13.20 ,96.90 
2014-11,-0.22 ,-0.49 ,50.30 ,3.50 ,3.20 ,12.30 ,70.50 ,58.10 ,9952.91 ,1.53 ,11.72 ,13.40 ,96.40 
2014-12,0.35 ,-0.63 ,50.10 ,2.90 ,3.20 ,12.20 ,71.20 ,55.50 ,10755.12 ,0.92 ,11.89 ,13.60 ,95.60 
2015-01,0.26 ,-1.09 ,49.80 ,-17.60 ,10.60 ,10.80 ,67.70 ,56.60 ,16203.42 ,,,13.90 ,94.40 
2015-02,1.19 ,-0.73 ,49.90 ,17.00 ,5.60 ,12.50 ,64.60 ,55.60 ,9513.08 ,-14.07 ,10.71 ,14.30 ,94.20 
2015-03,-0.55 ,-0.07 ,50.10 ,6.20 ,2.90 ,11.60 ,70.50 ,60.60 ,10690.62 ,-5.81 ,10.24 ,14.00 ,94.60 
2015-04,-0.21 ,-0.26 ,50.10 ,3.70 ,3.70 ,10.10 ,65.20 ,60.10 ,13502.09 ,-5.92 ,10.00 ,14.10 ,94.70 
2015-05,-0.17 ,-0.09 ,50.20 ,1.80 ,4.70 ,10.80 ,63.80 ,58.20 ,14355.49 ,-4.28 ,10.13 ,14.00 ,94.50 
2015-06,0.03 ,-0.43 ,50.20 ,2.90 ,4.30 ,11.80 ,56.20 ,57.30 ,15335.24 ,-2.58 ,10.63 ,13.40 ,94.20 
2015-07,0.31 ,-0.68 ,50.00 ,2.90 ,6.60 ,13.30 ,59.60 ,57.30 ,14249.36 ,-1.98 ,10.51 ,15.50 ,93.30 
2015-08,0.48 ,-0.78 ,49.70 ,1.80 ,9.30 ,13.30 ,41.30 ,57.40 ,9671.33 ,-2.16 ,10.79 ,15.40 ,93.00 
2015-09,0.10 ,-0.40 ,49.80 ,3.70 ,11.40 ,13.10 ,51.30 ,56.60 ,10891.86 ,-1.48 ,10.90 ,15.40 ,92.70 
2015-10,-0.29 ,-0.40 ,49.80 ,3.80 ,14.00 ,13.50 ,55.30 ,55.00 ,14435.08 ,-0.93 ,11.02 ,15.40 ,92.60 
2015-11,-0.01 ,-0.50 ,49.60 ,3.20 ,15.70 ,13.70 ,57.80 ,55.30 ,11087.38 ,-0.79 ,11.17 ,14.90 ,92.30 
2015-12,0.50 ,-0.60 ,49.70 ,4.90 ,15.20 ,13.30 ,60.60 ,54.70 ,12282.05 ,-0.76 ,11.10 ,14.30 ,92.70 
2016-01,0.50 ,-0.50 ,49.40 ,15.10 ,18.60 ,14.00 ,44.90 ,54.00 ,17166.33 ,,,15.30 ,93.40 
2016-02,1.60 ,-0.30 ,49.00 ,-4.80 ,17.40 ,13.30 ,48.80 ,53.50 ,10218.51 ,0.58 ,10.20 ,14.70 ,93.90 
2016-03,-0.43 ,0.50 ,50.20 ,4.40 ,22.10 ,13.40 ,54.70 ,57.80 ,11511.20 ,-1.85 ,10.50 ,14.70 ,94.90 
2016-04,-0.18 ,0.70 ,50.10 ,6.00 ,22.90 ,12.80 ,48.80 ,58.70 ,15522.92 ,-0.45 ,10.10 ,14.40 ,96.00 
2016-05,-0.46 ,0.50 ,50.10 ,6.30 ,23.70 ,11.80 ,47.80 ,56.00 ,15460.81 ,-0.69 ,10.00 ,14.40 ,96.20 
2016-06,-0.13 ,-0.20 ,50.00 ,7.20 ,24.60 ,11.80 ,54.90 ,55.20 ,15634.07 ,-0.14 ,10.60 ,14.30 ,96.60 
2016-07,0.19 ,0.20 ,49.90 ,7.20 ,25.40 ,10.20 ,51.60 ,55.50 ,14770.16 ,-0.71 ,10.20 ,12.90 ,97.90 
2016-08,0.06 ,0.20 ,50.40 ,7.40 ,25.30 ,11.40 ,54.00 ,54.90 ,9894.05 ,-0.42 ,10.60 ,13.00 ,98.70 
2016-09,0.67 ,0.50 ,50.40 ,6.60 ,24.70 ,11.50 ,50.30 ,56.00 ,11221.90 ,0.09 ,10.70 ,13.00 ,100.20 
2016-10,-0.12 ,0.70 ,51.20 ,7.20 ,23.90 ,11.60 ,55.30 ,56.10 ,15359.18 ,-0.26 ,10.00 ,13.10 ,101.70 
2016-11,0.14 ,1.50 ,51.70 ,7.60 ,22.70 ,11.40 ,56.70 ,55.00 ,11491.12 ,-0.16 ,10.80 ,13.10 ,104.50 
2016-12,0.22 ,1.60 ,51.40 ,8.10 ,21.40 ,11.30 ,54.30 ,56.10 ,11301.75 ,0.15 ,10.90 ,13.50 ,106.80 
2017-01,1.00 ,0.80 ,51.30 ,19.40 ,14.50 ,10.70 ,53.20 ,55.00 ,20208.09 ,-2.25 ,,12.60 ,108.50 
2017-02,-0.17 ,0.60 ,51.60 ,3.30 ,21.40 ,10.40 ,55.60 ,56.30 ,11245.40 ,9.30 ,9.50 ,13.00 ,109.30 
2017-03,-0.32 ,0.30 ,51.80 ,6.10 ,18.80 ,10.10 ,54.80 ,60.00 ,12912.48 ,5.03 ,10.90 ,12.40 ,108.40 
2017-04,0.07 ,-0.40 ,51.20 ,6.20 ,18.50 ,9.80 ,50.40 ,58.00 ,16784.20 ,4.97 ,10.70 ,12.90 ,106.80 
2017-05,-0.11 ,-0.30 ,51.20 ,7.30 ,17.00 ,9.10 ,48.90 ,56.90 ,16073.40 ,3.81 ,10.70 ,12.90 ,106.20 
2017-06,-0.15 ,-0.20 ,51.70 ,6.60 ,15.00 ,9.10 ,54.50 ,54.70 ,17082.37 ,2.51 ,11.00 ,12.90 ,106.10 
2017-07,0.11 ,0.20 ,51.40 ,6.10 ,15.30 ,8.90 ,53.90 ,56.00 ,16456.51 ,2.40 ,10.40 ,13.20 ,105.80 
2017-08,0.42 ,0.90 ,51.70 ,6.50 ,14.00 ,8.60 ,58.60 ,57.40 ,10652.48 ,2.74 ,10.10 ,13.20 ,106.70 
2017-09,0.54 ,1.00 ,52.40 ,7.20 ,14.00 ,9.00 ,58.10 ,56.20 ,12713.96 ,2.81 ,10.30 ,13.10 ,106.90 
2017-10,0.11 ,0.70 ,51.60 ,6.30 ,13.00 ,8.90 ,53.80 ,55.20 ,16233.70 ,1.97 ,10.00 ,13.00 ,106.80 
2017-11,0.01 ,0.50 ,51.80 ,5.70 ,12.70 ,9.10 ,52.20 ,56.10 ,11385.29 ,2.48 ,10.20 ,13.30 ,105.30 
2017-12,0.30 ,0.80 ,51.60 ,3.40 ,11.80 ,8.10 ,55.60 ,55.30 ,10819.14 ,2.82 ,9.40 ,12.70 ,104.40 
2018-01,0.60 ,0.30 ,51.30 ,-13.80 ,15.00 ,8.60 ,53.10 ,53.80 ,23621.08 ,1.15 ,,13.20 ,103.90 
2018-02,1.20 ,-0.10 ,50.30 ,13.50 ,8.50 ,8.80 ,55.40 ,54.50 ,12932.33 ,-6.38 ,9.70 ,12.80 ,103.40 
2018-03,-1.10 ,-0.20 ,51.50 ,6.00 ,7.10 ,8.20 ,51.20 ,59.10 ,13993.00 ,-1.20 ,10.10 ,12.80 ,102.70 
2018-04,-0.20 ,-0.20 ,51.40 ,4.50 ,7.20 ,8.30 ,50.80 ,58.00 ,18472.93 ,1.29 ,9.40 ,12.70 ,102.80 
2018-05,-0.20 ,0.40 ,51.90 ,3.60 ,6.00 ,8.30 ,,58.30 ,17631.12 ,2.34 ,8.50 ,12.60 ,103.60 
2018-06,-0.10 ,0.30 ,51.50 ,3.90 ,6.60 ,8.00 ,,56.00 ,17680.22 ,2.31 ,9.00 ,12.70 ,104.10 
2018-07,0.30 ,0.10 ,51.20 ,3.60 ,5.10 ,8.50 ,,55.70 ,17460.67 ,2.92 ,8.80 ,13.20 ,103.90 
2018-08,0.70 ,0.40 ,51.30 ,3.30 ,3.90 ,8.20 ,,56.60 ,11076.85 ,1.64 ,9.00 ,13.20 ,103.30 
2018-09,0.70 ,0.60 ,50.80 ,2.20 ,4.00 ,8.30 ,,55.60 ,12963.12 ,0.91 ,9.20 ,13.20 ,103.20 
2018-10,0.20 ,0.40 ,50.20 ,2.80 ,2.70 ,8.00 ,,54.50 ,15726.61 ,0.76 ,8.60 ,13.10 ,102.80 
2018-11,-0.30 ,-0.20 ,50.00 ,2.80 ,1.50 ,8.00 ,,54.70 ,10774.75 ,1.02 ,8.10 ,13.10 ,101.80 
2018-12,0.00 ,-1.00 ,49.40 ,3.60 ,1.50 ,8.10 ,46.00 ,54.70 ,11019.32 ,0.74 ,8.16 ,13.50 ,100.30 
2019-01,0.50 ,-0.60 ,49.50 ,17.20 ,0.40 ,8.40 ,51.90 ,54.90 ,,-2.27 ,,13.40 ,99.50 
2019-02,1.00 ,-0.10 ,49.20 ,-2.40 ,2.00 ,8.00 ,67.10 ,55.10 ,,-1.14 ,8.20 ,13.40 ,99.70 
2019-03,-0.40 ,0.10 ,50.50 ,3.10 ,4.60 ,8.60 ,65.50 ,57.10 ,14552.00 ,-1.82 ,8.70 ,13.70 ,100.60 
2019-04,0.10 ,0.30 ,50.10 ,3.50 ,2.90 ,8.50 ,60.50 ,56.80 ,18995.00 ,-2.55 ,7.20 ,13.50 ,101.10 
2019-05,0.00 ,0.20 ,49.40 ,4.30 ,3.40 ,8.50 ,56.70 ,54.70 ,17268.00 ,-2.61 ,8.60 ,13.40 ,100.70 
2019-06,-0.10 ,-0.30 ,49.40 ,4.30 ,4.40 ,8.50 ,59.50 ,54.00 ,17927.00 ,-1.99 ,9.80 ,13.00 ,99.80 
2019-07,0.40 ,-0.20 ,49.70 ,4.50 ,3.10 ,8.10 ,58.80 ,53.80 ,17777.00 ,-1.48 ,7.60 ,12.60 ,99.70 
2019-08,0.70 ,-0.10 ,49.50 ,4.80 ,3.40 ,8.20 ,58.50 ,54.50 ,11438.00 ,-0.61 ,7.50 ,12.40 ,99.30 
2019-09,0.90 ,0.10 ,49.80 ,4.00 ,3.40 ,8.40 ,56.70 ,53.10 ,13617.00 ,-0.90 ,7.80 ,12.50 ,98.90 
2019-10,0.90 ,0.10 ,49.30 ,4.70 ,3.30 ,8.40 ,56.20 ,54.50 ,17026.00 ,-0.58 ,7.20 ,12.40 ,98.90 
2019-11,0.40 ,-0.10 ,50.20 ,4.80 ,3.50 ,8.20 ,55.40 ,54.70 ,11263.00 ,-1.08 ,8.00 ,12.40 ,99.40 
2019-12,0.00 ,0.00 ,50.20 ,5.40 ,4.40 ,8.70 ,61.40 ,55.80 ,11415.00 ,-0.66 ,8.00 ,12.30 ,100.50 
2020-01,1.40 ,0.00 ,50.00 ,6.60 ,0.00 ,8.40 ,55.90 ,55.00 ,,-19.77 ,,12.10 ,101.00 
2020-02,0.80 ,-0.50 ,35.70 ,10.90 ,4.80 ,8.80 ,54.30 ,40.50 ,10530.30 ,-37.93 ,-20.50 ,12.10 ,100.30 
2020-03,-1.20 ,-1.00 ,52.00 ,10.80 ,5.00 ,10.10 ,52.20 ,49.60 ,10752.00 ,-29.32 ,-15.80 ,12.70 ,98.60 
2020-04,-0.90 ,-1.30 ,50.80 ,10.20 ,5.50 ,11.10 ,55.60 ,50.90 ,16149.00 ,-22.88 ,-7.50 ,13.10 ,97.00 
2020-05,-0.80 ,-0.40 ,50.60 ,9.50 ,6.80 ,11.10 ,58.30 ,51.70 ,15539.00 ,-22.95 ,-2.80 ,13.20 ,96.70 
2020-06,-0.10 ,0.40 ,50.90 ,9.50 ,6.50 ,11.10 ,63.80 ,53.30 ,18504.00 ,-23.47 ,-1.80 ,13.20 ,97.70 
2020-07,0.60 ,0.40 ,51.10 ,9.90 ,6.90 ,10.70 ,64.70 ,53.90 ,18549.00 ,-22.61 ,-1.10 ,13.00 ,98.50 
2020-08,0.40 ,0.30 ,51.00 ,9.40 ,8.00 ,10.40 ,61.50 ,54.10 ,12043.00 ,-20.63 ,0.50 ,13.00 ,98.90 
2020-09,0.20 ,0.10 ,51.50 ,11.10 ,8.10 ,10.90 ,61.10 ,54.00 ,14234.00 ,-18.14 ,3.30 ,13.00 ,98.70 
2020-10,-0.30 ,0.00 ,51.40 ,10.40 ,9.10 ,10.50 ,59.40 ,52.60 ,17531.00 ,-15.42 ,4.30 ,12.90 ,98.50 
2020-11,-0.60 ,0.50 ,52.10 ,10.30 ,10.00 ,10.70 ,62.10 ,52.90 ,10956.00 ,-14.07 ,5.00 ,12.80 ,99.00 
2020-12,0.70 ,1.10 ,51.90 ,9.20 ,8.60 ,10.10 ,63.00 ,52.70 ,13406.00 ,-12.28 ,4.60 ,12.80 ,100.20 
2021-01,1.00 ,1.00 ,51.30 ,-3.90 ,14.70 ,9.40 ,65.10 ,52.30 ,,10.14 ,,12.70 ,101.20 
2021-02,0.60 ,0.80 ,50.60 ,4.20 ,7.40 ,10.10 ,57.40 ,51.50 ,,37.04 ,33.80 ,12.90 ,102.90 
2021-03,-0.50 ,1.60 ,51.90 ,4.20 ,7.10 ,9.40 ,58.20 ,53.60 ,15310.00 ,29.69 ,34.20 ,12.60 ,105.40 
2021-04,-0.30 ,0.90 ,51.10 ,5.30 ,6.20 ,8.10 ,56.90 ,55.60 ,20893.00 ,23.45 ,17.70 ,12.30 ,107.50 
2021-05,-0.20 ,1.60 ,51.00 ,5.60 ,6.10 ,8.30 ,61.10 ,54.40 ,18446.00 ,24.78 ,12.40 ,12.20 ,109.10 
2021-06,-0.40 ,0.30 ,50.90 ,6.20 ,5.50 ,8.60 ,57.50 ,54.40 ,20662.00 ,23.76 ,12.10 ,12.30 ,108.10 
2021-07,0.30 ,0.50 ,50.40 ,6.10 ,4.90 ,8.30 ,56.60 ,53.90 ,20600.00 ,22.50 ,8.50 ,12.30 ,107.90 
2021-08,0.10 ,0.70 ,50.10 ,6.30 ,4.20 ,8.20 ,59.90 ,53.30 ,12372.00 ,20.10 ,2.50 ,12.10 ,107.60 
2021-09,0.00 ,1.20 ,49.60 ,5.50 ,3.70 ,8.30 ,55.40 ,53.40 ,13932.00 ,16.37 ,4.40 ,11.90 ,107.90 
2021-10,0.70 ,2.50 ,49.20 ,6.20 ,2.80 ,8.70 ,53.50 ,52.20 ,17506.00 ,12.29 ,4.90 ,11.90 ,110.10 
2021-11,0.40 ,0.00 ,50.10 ,7.20 ,3.00 ,8.50 ,58.60 ,52.50 ,9726.00 ,9.83 ,3.90 ,11.70 ,109.80 
2021-12,-0.30 ,-1.20 ,50.30 ,7.70 ,3.50 ,9.00 ,57.00 ,53.40 ,11287.00 ,7.00 ,1.70 ,11.60 ,107.50 
2022-01,0.40 ,-0.20 ,50.10 ,18.50 ,-1.90 ,9.80 ,54.60 ,52.10 ,,-1.32 ,,11.50 ,106.40 
2022-02,0.60 ,0.50 ,50.20 ,5.80 ,4.70 ,9.20 ,51.70 ,53.00 ,,10.14 ,6.70 ,11.40 ,106.10 
2022-03,0.00 ,1.10 ,49.50 ,10.00 ,4.70 ,9.70 ,52.20 ,53.20 ,15834.00 ,-4.04 ,-3.53 ,11.40 ,106.10 
2022-04,0.40 ,0.60 ,47.40 ,11.50 ,5.10 ,10.50 ,50.80 ,49.40 ,12256.00 ,-7.09 ,-11.10 ,10.90 ,106.30 
2022-05,-0.20 ,0.10 ,49.60 ,13.50 ,4.60 ,11.10 ,62.10 ,48.50 ,12446.00 ,-7.84 ,-6.70 ,11.00 ,105.10 
2022-06,0.00 ,0.00 ,50.20 ,13.90 ,5.80 ,11.40 ,65.40 ,51.70 ,18482.00 ,-6.30 ,3.10 ,11.20 ,105.20 
2022-07,0.50 ,-1.30 ,49.00 ,13.90 ,6.70 ,12.00 ,61.50 ,52.20 ,19760.00 ,-4.74 ,2.70 ,11.00 ,103.10 
2022-08,-0.10 ,-1.20 ,49.40 ,14.30 ,6.10 ,12.20 ,56.00 ,51.30 ,13062.00 ,-4.26 ,5.40 ,10.90 ,102.30 
2022-09,0.30 ,-0.10 ,50.10 ,13.60 ,6.40 ,12.10 ,54.50 ,50.90 ,15108.00 ,-4.21 ,2.50 ,11.20 ,101.70 
2022-10,0.10 ,0.20 ,49.20 ,14.40 ,5.80 ,11.80 ,57.20 ,49.90 ,20246.00 ,-4.77 ,-0.50 ,11.10 ,100.10 
2022-11,-0.20 ,0.10 ,48.00 ,14.10 ,4.60 ,12.40 ,60.50 ,49.20 ,12121.00 ,-5.14 ,-5.90 ,11.00 ,99.80 
2022-12,0.00 ,-0.50 ,47.00 ,15.30 ,3.70 ,11.80 ,61.90 ,49.30 ,18185.00 ,-4.96 ,-1.80 ,11.10 ,100.20 
2023-01,0.80 ,-0.40 ,50.10 ,7.90 ,6.70 ,12.60 ,69.50 ,49.90 ,,-10.67 ,,11.30 ,100.40 
2023-02,-0.50 ,0.00 ,52.60 ,10.60 ,5.80 ,12.90 ,64.90 ,51.40 ,,-1.23 ,3.50 ,11.60 ,99.70 
2023-03,-0.30 ,0.00 ,51.90 ,11.00 ,5.10 ,12.70 ,64.40 ,53.70 ,16699.00 ,4.21 ,10.60 ,11.80 ,98.30 
2023-04,-0.10 ,-0.50 ,49.20 ,10.70 ,5.30 ,12.40 ,61.20 ,53.30 ,20830.00 ,,18.40 ,11.80 ,
,,,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,,,
