Date,SSE50,CSI300,CSI500
2012/8/8,1662.77,2389.8,3356.49
2012/8/9,1671.95,2411.7,3405.06
2012/8/10,1665.18,2399.75,3395.85
2012/8/13,1632,2351.93,3318.1
2012/8/14,1633.14,2357.02,3349.59
2012/8/15,1610.41,2331.62,3310.84
2012/8/16,1605.28,2319.67,3286.83
2012/8/17,1606,2313.48,3286.78
2012/8/20,1596.2,2301.79,3289.44
2012/8/21,1598.5,2313.7,3335.75
2012/8/22,1591.33,2295.59,3306.11
2012/8/23,1596.57,2302.2,3327.99
2012/8/24,1588.11,2275.68,3265.75
2012/8/27,1557.17,2228.2,3184.33
2012/8/28,1570.44,2238.41,3200.99
2012/8/29,1554.4,2214.81,3179.54
2012/8/30,1560.29,2211.37,3129.5
2012/8/31,1551.2,2204.87,3139.5
2012/9/3,1560.08,2228.37,3200.31
2012/9/4,1548.04,2204.41,3164.83
2012/9/5,1537.53,2199.88,3181.8
2012/9/6,1550.97,2217.82,3217.94
2012/9/7,1619.21,2317.18,3334.66
2012/9/10,1620.03,2326.67,3363.61
2012/9/11,1605.07,2311.89,3350.09
2012/9/12,1607.99,2320.07,3376.12
2012/9/13,1597.16,2298.46,3329.3
2012/9/14,1614.7,2315.54,3338.04
2012/9/17,1582.1,2258.71,3237.7
2012/9/18,1564.98,2235.24,3224.26
2012/9/19,1569.07,2246.24,3255.87
2012/9/20,1540.96,2195.95,3161.76
2012/9/21,1545.96,2199.06,3143.71
2012/9/24,1553.97,2215.52,3167.16
2012/9/25,1553.7,2210.15,3144.41
2012/9/26,1541.14,2184.89,3071.99
2012/9/27,1587.96,2251.72,3141.08
2012/9/28,1613.09,2293.11,3199.75
2012/10/8,1596.14,2270.05,3183.37
2012/10/9,1627.66,2320.16,3265.62
2012/10/10,1625.33,2324.12,3296.92
2012/10/11,1615.75,2302.53,3248.05
2012/10/12,1618.66,2304.53,3240.4
2012/10/15,1612.96,2294.86,3223.19
2012/10/16,1614.14,2298.16,3233.23
2012/10/17,1617.66,2300.8,3240.78
2012/10/18,1639.67,2336.08,3294.84
2012/10/19,1637.77,2332.47,3285.45
